CustomerID,Segment,Region,Age,Gender,TenureMonths,PlanType,NumServices,MonthlyRevenue,NumTicketsLast6M,AvgResolutionTimeHours,LatePaymentsLast6M,Autopay,SatisfactionScore,Churn,RetentionOfferCost,ExpectedMarginNext6M
C271,SME,Centru,68,F,29,Standard,3,111.35,3,12.5,2,0,6.4,0,26.86,267.24
C272,SME,Chișinău,23,M,53,Premium,4,153.63,2,25.1,1,0,6.2,0,18.98,368.71
C273,SME,Centru,23,M,44,Standard,3,78.93,3,20,2,0,5.4,1,24.07,189.43
C274,SME,Sud,20,F,57,Standard,2,78.48,1,38,1,0,6.4,0,32.88,188.35
C275,Individual,Chișinău,24,M,16,Standard,2,51.89,2,39,0,0,7.7,0,33.77,124.54
C276,Individual,Chișinău,68,F,56,Standard,2,73.28,2,24,0,0,8,0,49.15,175.87
C277,SME,Nord,25,F,44,Standard,4,135.88,2,11.1,1,1,8.2,0,47.51,326.11
C278,Individual,Chișinău,59,F,47,Standard,3,97.35,2,28.3,4,0,6.4,0,32.84,233.64
C279,Individual,Centru,69,M,57,Standard,3,87.6,3,7.4,1,1,6.4,0,52.28,210.24
C280,SME,Centru,32,M,10,Basic,1,24.55,5,40.3,2,1,5.3,0,15.71,58.92
C281,SME,Centru,64,M,30,Basic,1,28.65,1,19.3,2,0,6.4,0,22.77,68.76
C282,Individual,Chișinău,46,F,25,Standard,3,111.3,5,23.7,1,1,6.8,0,51.4,267.12
C283,Individual,Centru,50,M,39,Standard,3,111.77,3,17.2,0,0,6.1,1,28.9,268.25
C284,Individual,Centru,69,F,20,Standard,3,90.67,3,15,0,0,6.4,0,59.06,217.61
C285,Individual,Sud,47,M,5,Standard,4,106.51,2,31.4,0,1,7.4,0,33.31,255.62
C286,Individual,Nord,56,F,1,Premium,3,163.81,4,22.4,1,0,4.9,0,49.6,393.14
C287,Individual,Nord,44,M,30,Basic,1,15.13,3,24.4,2,1,6.9,0,30.12,36.31
C288,Individual,Nord,53,M,49,Basic,4,44.55,4,14,1,0,6.3,0,31.25,106.92
C289,Individual,Nord,46,M,3,Basic,3,72.05,1,32.6,1,0,8.2,0,29.14,172.92
C290,Individual,Nord,55,F,45,Standard,1,40.97,4,33.6,0,0,5.6,1,45.95,98.33
C291,Individual,Nord,74,F,14,Premium,4,185.65,0,21.9,1,0,6.8,0,37.38,445.56
C292,Individual,Sud,50,M,56,Basic,3,63.66,1,36.7,0,0,7.1,0,57.19,152.78
C293,SME,Nord,54,M,30,Standard,3,126.04,6,23,0,1,5.2,0,22.54,302.5
C294,Individual,Centru,44,F,50,Standard,3,109.31,1,31.8,0,1,8,0,15.03,262.34
C295,Individual,Chișinău,72,F,4,Standard,4,106.59,3,7.8,1,1,5.9,0,29.66,255.82
C296,Individual,Centru,50,F,18,Standard,1,33.37,2,27.5,3,0,6.1,0,40.84,80.09
C297,SME,Sud,21,M,37,Basic,1,26.63,4,21.3,1,1,6,0,53.04,63.91
C298,Individual,Nord,39,F,25,Standard,2,73.46,2,25.6,3,1,7.5,0,27.31,176.3
C299,Individual,Nord,19,M,48,Standard,3,116.32,2,25.1,0,1,7,0,42.69,279.17
C300,Individual,Nord,27,F,1,Basic,2,43.42,2,25.3,1,0,5.6,0,27.51,104.21
